Model,Prix,Annee,Kilometrage,Boite_Vitesse,Energie,Controle_Technique,Premiere Main,Portes,Places,Puissance
TOYOTA COROLLA XII,25970,2020,73384,Automatique,Hybrides,Non requis,Non,5,5,7
,25970,2020,73384,Automatique,Hybrides,Non requis,Non,5,5,7
LAND ROVER RANGE ROVER EVOQUE II,80310,2024,24,Automatique,Hybrides,Non requis,Non,5,5,11
FORD FOCUS IV SW,22490,2020,45428,Manuelle,Essence,Non requis,Non,5,5,6
SEAT ARONA,27320,2023,13252,Automatique,Essence,Non requis,Non,5,5,6
JEEP CHEROKEE IV phase 2,40240,2019,77143,Automatique,Diesel,Requis,Non,5,5,11
NISSAN QASHQAI II phase 2,21400,2019,61389,Manuelle,Essence,Non requis,Oui,5,5,6
CITROEN C5 AIRCROSS,29950,2021,83193,Automatique,Hybrides,Non requis,Oui,5,5,10
FIAT 500 III,17670,2022,44164,Manuelle,Essence,Non requis,Non,3,4,4
DS DS 3 CROSSBACK,22380,2021,27891,Manuelle,Essence,Non requis,Non,5,4,5
AUDI A1 II SPORTBACK,23160,2020,55345,Manuelle,Essence,Non requis,Non,5,5,5
PEUGEOT BOXER II phase 2,36880,2022,10282,Manuelle,Diesel,Non requis,Oui,4,3,7
VOLKSWAGEN GOLF 7,22980,2020,87651,Automatique,Diesel,Non requis,Oui,5,3,6
,22980,2020,87651,Automatique,Diesel,Non requis,Oui,5,3,6
PEUGEOT 3008 II,22780,2020,180237,Automatique,Diesel,Non requis,Oui,5,5,6
PEUGEOT 2008 II,35050,2023,6603,Automatique,Diesel,Non requis,Oui,5,5,7
AUDI Q5 II,43380,2020,93026,Automatique,Diesel,Non requis,Oui,5,5,11
PEUGEOT 3008 II,24840,2020,84032,Automatique,Essence,Non requis,Non,5,5,7
AUDI RS4 V AVANT phase 2,129480,2021,30720,Automatique,Essence,Non requis,Oui,5,5,34
,129480,2021,30720,Automatique,Essence,Non requis,Oui,5,5,34
OPEL ASTRA V phase 2,25940,2021,41575,Automatique,Diesel,Non requis,Non,5,5,6
CITROEN C3 (3E GENERATION),17350,2022,21542,Manuelle,Essence,Non requis,Non,5,5,4
PEUGEOT 308 III,51730,2023,12,Automatique,Hybrides,Non requis,Oui,5,5,10
RENAULT MASTER III phase 2,38140,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,8
AUDI A4 V AVANT phase 3,38500,2021,55143,Automatique,Diesel,Non requis,Non,5,5,7
PEUGEOT 208 phase 2,17050,2020,56957,Manuelle,Essence,Non requis,Non,5,5,4
PEUGEOT 208 phase 2,17050,2020,56957,Manuelle,Essence,Non requis,Non,5,5,4
RENAULT TRAFIC III phase 2,43950,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,7
CITROEN C3 AIRCROSS,19120,2020,53348,Manuelle,Essence,Non requis,Oui,5,3,5
CITROEN C3 III phase 2,16800,2023,15728,Manuelle,Essence,Non requis,Oui,5,5,4
CITROEN C5 AIRCROSS phase 2,35680,2023,11,Automatique,Diesel,Non requis,Non,5,5,7
,35680,2023,11,Automatique,Diesel,Non requis,Non,5,5,7
VOLKSWAGEN T-ROC,28330,2021,48825,Automatique,Essence,Non requis,Non,5,5,8
CITROEN C3 III phase 2,15800,2022,13883,Manuelle,Essence,Non requis,Oui,5,5,4
BMW SERIE 1 F20 5 PORTES phase 2,55640,2019,67562,Automatique,Essence,Non requis,Non,5,5,23
OPEL CORSA 6,21640,2022,36276,Manuelle,Essence,Non requis,Non,5,5,5
DACIA DUSTER 2,20400,2023,11780,Manuelle,Essence,Non requis,Non,5,5,5
,20400,2023,11780,Manuelle,Essence,Non requis,Non,5,5,5
PEUGEOT 5008 II phase 2,43430,2024,11,Automatique,Diesel,Non requis,Non,5,7,7
AUDI A1 II SPORTBACK,37740,2023,26600,Automatique,Essence,Non requis,Oui,5,5,8
LAND ROVER RANGE ROVER EVOQUE II,53950,2022,40727,Automatique,Bicarburation essence bioéthanol,Non requis,Non,5,5,11
PEUGEOT 3008 (2E GENERATION),33690,2022,23193,Automatique,Essence,Non requis,Oui,5,5,7
HYUNDAI I20 III,21980,2022,36849,Manuelle,Essence,Non requis,Non,5,5,5
VOLKSWAGEN ID. BUZZ,60930,2023,8884,Automatique,Électrique,Non requis,Oui,5,5,5
CITROEN C4 SPACETOURER,20880,2020,53698,Automatique,Essence,Non requis,Non,5,5,7
NISSAN LEAF 2,24130,2020,32865,Automatique,Électrique,Non requis,Oui,5,5,4
AUDI RS6 IV AVANT,177580,2023,33153,Automatique,Essence,Non requis,Oui,5,5,53
VOLKSWAGEN T-CROSS,26850,2023,17909,Manuelle,Essence,Non requis,Oui,5,5,6
PEUGEOT 208 II,24380,2023,12610,Manuelle,Essence,Non requis,Non,5,5,5
,24380,2023,12610,Manuelle,Essence,Non requis,Non,5,5,5
MERCEDES CLASSE V II LONG,68190,2019,50792,Automatique,Diesel,Non requis,Non,4,6,11
MINI III 3P,26300,2021,35112,Manuelle,Essence,Non requis,Non,3,4,7
VOLKSWAGEN TAIGO,30310,2023,27688,Automatique,Essence,Non requis,Non,5,5,6
CITROEN C5 AIRCROSS phase 2,40920,2024,7444,Automatique,Essence,Non requis,Oui,4,5,7
VOLVO XC90 II phase 2,87190,2022,49108,Automatique,Hybrides,Non requis,Non,5,7,19
,87190,2022,49108,Automatique,Hybrides,Non requis,Non,5,7,19
BMW SERIE 5 G31 TOURING,40780,2020,61988,Automatique,Diesel,Non requis,Oui,5,5,10
DACIA SANDERO II STEPWAY phase 2,15970,2020,72816,Manuelle,Diesel,Non requis,Oui,5,5,5
PEUGEOT E-RIFTER,32060,2023,2006,Automatique,Électrique,Non requis,Non,5,5,4
RENAULT CLIO IV phase 2,16720,2019,53480,Manuelle,Diesel,Requis,Oui,5,5,4
PEUGEOT 308 III,37410,2024,1,Automatique,Essence,Non requis,Oui,5,5,7
VOLKSWAGEN POLO VI,21640,2020,61443,Automatique,Essence,Non requis,Oui,5,5,6
AUDI E-TRON SPORTBACK,78630,2022,13030,Automatique,Électrique,Non requis,Oui,5,5,9
PEUGEOT 208 II,18510,2021,64955,Manuelle,Essence,Non requis,Oui,5,5,5
CITROEN C5 AIRCROSS,31600,2023,31869,Manuelle,Essence,Non requis,Non,5,5,7
KIA SPORTAGE IV phase 2,26630,2020,60242,Automatique,Diesel,Non requis,Oui,5,5,7
PORSCHE 911 TYPE 992 CABRIOLET,295680,2023,8700,Automatique,Essence,Non requis,Non,2,4,34
,295680,2023,8700,Automatique,Essence,Non requis,Non,2,4,34
BMW X1 F48,32650,2019,95197,Automatique,Diesel,Requis,Oui,5,5,8
VOLKSWAGEN GOLF 8 GTI,38490,2021,45838,Automatique,Essence,Non requis,Oui,5,5,14
DS 4 II,40680,2023,31836,Automatique,Diesel,Non requis,Oui,5,5,7
CITROEN C5 AIRCROSS phase 2,46230,2022,7000,Automatique,Hybrides,Non requis,Oui,5,5,10
FIAT TIPO 2,20310,2022,11562,Manuelle,Essence,Non requis,Non,5,5,5
,20310,2022,11562,Manuelle,Essence,Non requis,Non,5,5,5
PEUGEOT 208 II,22200,2023,22957,Manuelle,Essence,Non requis,Oui,5,5,5
BMW X2 F39,32640,2019,43989,Automatique,Diesel,Requis,Oui,5,5,8
RENAULT CAPTUR phase 2,13800,2020,90677,Manuelle,Diesel,Non requis,Non,5,5,5
RENAULT CLIO V,15550,2021,50288,Manuelle,Diesel,Non requis,Oui,5,5,5
PEUGEOT 308 III,45570,2023,19409,Automatique,Hybrides,Non requis,Oui,5,5,8
MERCEDES CLA II SHOOTING BRAKE,41980,2022,74880,Automatique,Diesel,Non requis,Non,5,5,10
JEEP COMPASS II phase 2,47070,2023,9440,Automatique,Essence,Non requis,Oui,5,5,7
PEUGEOT 308 III,39550,2022,19196,Automatique,Hybrides,Non requis,Oui,5,5,10
VOLKSWAGEN T-ROC,35060,2020,67408,Automatique,Diesel,Non requis,Oui,5,5,8
VOLKSWAGEN GOLF VIII,25060,2021,65504,Manuelle,Essence,Non requis,Non,5,5,7
AUDI A3 IV SPORTBACK,36880,2021,31827,Automatique,Diesel,Non requis,Non,5,5,8
,36880,2021,31827,Automatique,Diesel,Non requis,Non,5,5,8
FIAT 500 3+1 III,33300,2022,15389,Automatique,Électrique,Non requis,Non,3,4,3
RENAULT MEGANE IV,19450,2021,74989,Automatique,Diesel,Non requis,Oui,5,5,6
DACIA DUSTER II,15630,2019,141459,Manuelle,Diesel,Requis,Oui,5,5,6
AUDI A6 (5E GENERATION) AVANT,53340,2022,20738,Automatique,Diesel,Non requis,Non,5,5,9
MERCEDES CITAN,18330,2019,62160,Manuelle,Diesel,Requis,Non,5,5,5
,18330,2019,62160,Manuelle,Diesel,Requis,Non,5,5,5
FIAT 500 C II phase 2,18320,2020,63828,Automatique,Essence,Non requis,Non,3,4,4
PORSCHE 911 TYPE 992 CABRIOLET,165740,2020,27820,Automatique,Essence,Non requis,Non,2,4,27
DS 7 CROSSBACK,25750,2020,64372,Manuelle,Essence,Non requis,Non,5,5,7
RENAULT ESPACE V,32110,2020,99757,Automatique,Diesel,Non requis,Oui,5,7,11
FORD ECOSPORT phase 2,21660,2021,7789,Manuelle,Essence,Non requis,Oui,5,5,6
AUDI Q5 II,59760,2021,47367,Automatique,Hybrides,Non requis,Oui,5,5,13
DS 3 CROSSBACK,34780,2023,20377,Automatique,Essence,Non requis,Non,5,5,7
BMW SERIE 3 G21 TOURING,62620,2022,56160,Automatique,Diesel,Non requis,Oui,5,5,17
RENAULT TRAFIC III phase 2,37040,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,7
CITROEN C3 AIRCROSS,20310,2022,37445,Manuelle,Essence,Non requis,Non,5,5,6
VOLKSWAGEN PASSAT VIII,28170,2020,57244,Automatique,Diesel,Non requis,Oui,4,5,6
,28170,2020,57244,Automatique,Diesel,Non requis,Oui,4,5,6
FIAT 500 II phase 2,17340,2021,31613,Manuelle,Essence,Non requis,Non,3,4,4
AUDI Q5 II,43570,2019,82394,Automatique,Diesel,Requis,Oui,5,5,11
FORD KUGA II phase 2,22180,2019,114007,Manuelle,Diesel,Non requis,Non,5,5,6
MERCEDES CLA SHOOTING BRAKE phase 2,29680,2019,60196,Automatique,Diesel,Non requis,Oui,5,5,7
CITROEN GRAND C4 SPACETOURER,35070,2023,23227,Automatique,Diesel,Non requis,Oui,5,7,7
,35070,2023,23227,Automatique,Diesel,Non requis,Oui,5,7,7
RENAULT MEGANE IV phase 2,23080,2021,47190,Automatique,Essence,Non requis,Non,5,5,7
VOLVO XC40,60350,2023,9997,Automatique,Hybrides,Non requis,Non,5,5,7
VOLKSWAGEN ID. BUZZ,54970,2023,7181,Automatique,Électrique,Non requis,Oui,4,3,11
PEUGEOT 208 II,19410,2023,14704,Manuelle,Diesel,Non requis,Non,5,5,5
AUDI Q5 II phase 2,60480,2021,66441,Automatique,Hybrides,Non requis,Oui,5,5,15
PEUGEOT 208 phase 2,14540,2020,66640,Manuelle,Essence,Non requis,Oui,5,5,4
JAGUAR I-PACE,48290,2020,67560,Automatique,Électrique,Non requis,Non,5,5,10
RENAULT CLIO V,20520,2022,28412,Manuelle,Essence,Non requis,Non,5,5,5
MINI MINI 3 5P,28960,2023,16909,Automatique,Essence,Non requis,Non,5,5,7
PEUGEOT 308 III,27370,2022,56471,Automatique,Essence,Non requis,Non,5,5,7
BMW SERIE 1 F40,24360,2021,80926,Manuelle,Essence,Non requis,Non,5,5,7
,24360,2021,80926,Manuelle,Essence,Non requis,Non,5,5,7
PORSCHE 718 BOXSTER,97580,2020,45372,Automatique,Essence,Non requis,Non,2,2,25
MERCEDES CLASSE V II LONG phase 2,61580,2019,40320,Automatique,Diesel,Non requis,Oui,5,6,11
AUDI A6 (4E GENERATION) AVANT,38590,2019,101969,Automatique,Diesel,Non requis,Oui,5,6,16
PORSCHE 911 TYPE 992 CABRIOLET,239190,2021,28520,Automatique,Essence,Non requis,Non,2,4,34
MERCEDES CLASSE CLS III,56490,2020,116439,Automatique,Hybrides,Non requis,Oui,4,5,25
,56490,2020,116439,Automatique,Hybrides,Non requis,Oui,4,5,25
DACIA DUSTER 2,28480,2023,11,Manuelle,Essence,Non requis,Non,5,5,8
SEAT IBIZA V,24360,2020,35392,Manuelle,Essence,Non requis,Oui,5,5,6
SKODA KAROQ phase 2,44640,2024,121,Automatique,Essence,Non requis,Non,5,5,8
RENAULT CAPTUR phase 2,13660,2020,65286,Manuelle,Diesel,Non requis,Oui,5,5,5
AUDI A5 SPORTBACK II,31840,2019,59603,Automatique,Essence,Non requis,Non,5,4,8
VOLKSWAGEN T-ROC,32240,2022,65408,Automatique,Essence,Non requis,Oui,5,5,8
PEUGEOT 3008 II,20080,2020,118338,Manuelle,Essence,Non requis,Oui,5,5,7
VOLKSWAGEN GOLF 7,25790,2020,56890,Automatique,Essence,Non requis,Non,5,5,6
TOYOTA YARIS CROSS,35820,2023,62,Automatique,Hybrides,Non requis,Non,5,5,5
CITROEN GRAND C4 SPACETOURER,32080,2021,15515,Manuelle,Diesel,Non requis,Non,5,7,7
PEUGEOT RIFTER,26380,2021,33880,Manuelle,Diesel,Non requis,Oui,5,5,5
,26380,2021,33880,Manuelle,Diesel,Non requis,Oui,5,5,5
LAND ROVER RANGE ROVER VELAR,56560,2020,81778,Automatique,Diesel,Non requis,Oui,5,5,14
NISSAN QASHQAI III,31620,2023,12783,Manuelle,Essence,Non requis,Oui,5,5,7
JEEP COMPASS 2,32980,2024,11,Manuelle,Essence,Non requis,Non,5,5,6
VOLKSWAGEN GOLF VII phase 2,27700,2019,115038,Manuelle,Diesel,Non requis,Oui,5,5,10
MERCEDES CLASSE A III phase 2,25180,2019,56368,Automatique,Diesel,Non requis,Non,5,5,5
,25180,2019,56368,Automatique,Diesel,Non requis,Non,5,5,5
OPEL CORSA VI,21000,2021,62573,Automatique,Électrique,Non requis,Non,5,5,4
CITROEN E-C4 III,27230,2022,50131,Automatique,Électrique,Non requis,Non,5,5,4
CITROEN C5 AIRCROSS,30980,2022,29322,Manuelle,Essence,Non requis,Non,5,5,7
PEUGEOT 208 (2E GENERATION),28900,2023,2381,Automatique,Essence,Non requis,Non,5,5,7
AUDI RS6 III AVANT phase 2,89940,2019,45589,Automatique,Essence,Requis,Non,5,5,52
RENAULT CAPTUR II,29230,2023,5221,Automatique,Essence,Non requis,Non,5,5,7
OPEL CORSA VI,20110,2022,40986,Automatique,Essence,Non requis,Oui,5,5,5
PORSCHE MACAN phase 2,76160,2020,55710,Automatique,Essence,Non requis,Non,5,5,15
RENAULT MASTER III phase 2,43350,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,8
CITROEN C3 III phase 2,16720,2023,9828,Manuelle,Essence,Non requis,Oui,5,5,4
JAGUAR F-PACE phase 2,99840,2023,26564,Automatique,Hybrides,Non requis,Non,5,5,19
,99840,2023,26564,Automatique,Hybrides,Non requis,Non,5,5,19
TESLA MODEL 3 phase 2,42370,2022,31694,Automatique,Électrique,Non requis,Oui,5,5,7
CITROEN C5 AIRCROSS,26600,2020,107697,Automatique,Diesel,Non requis,Non,5,5,9
RENAULT CLIO IV phase 2,14380,2019,14316,Manuelle,Essence,Non requis,Oui,5,5,5
PEUGEOT 208 II,25840,2023,7788,Automatique,Essence,Non requis,Oui,5,5,5
MERCEDES CLASSE A III phase 2,28400,2019,51343,Automatique,Essence,Requis,Non,5,5,8
,28400,2019,51343,Automatique,Essence,Requis,Non,5,5,8
AUDI RS7 II SPORTBACK,166580,2021,16660,Automatique,Essence,Non requis,Oui,5,5,52
RENAULT CLIO 5,24500,2024,12,Manuelle,Essence,Non requis,Non,5,5,5
FORD ECOSPORT phase 2,24400,2023,11,Manuelle,Essence,Non requis,Non,5,5,6
CITROEN C3 AIRCROSS,21580,2020,80569,Automatique,Essence,Non requis,Non,5,5,6
CITROEN C3 AIRCROSS,19220,2021,77880,Manuelle,Diesel,Non requis,Non,5,5,5
VOLKSWAGEN GOLF VIII,31480,2022,30975,Automatique,Hybrides,Non requis,Oui,5,5,8
PEUGEOT 308 III,53980,2024,5400,Automatique,Hybrides,Non requis,Non,4,5,10
JEEP COMPASS II,19330,2019,106862,Manuelle,Diesel,Requis,Non,5,5,6
MERCEDES GLE COUPE II,116010,2019,106862,Manuelle,Diesel,Non requis,Non,5,5,11
VOLKSWAGEN TIGUAN II,32650,2021,111305,Automatique,Diesel,Non requis,Oui,5,5,8
DACIA SANDERO 3 STEPWAY,20980,2024,11,Manuelle,Bicarburation essence / gpl,Non requis,Non,5,5,5
,20980,2024,11,Manuelle,Bicarburation essence / gpl,Non requis,Non,5,5,5
BMW SERIE 4 G26 GRAN COUPE,55980,2023,37405,Automatique,Essence,Non requis,Oui,2,5,10
DODGE RAM,113160,2024,24,Automatique,Essence,Non requis,Oui,2,5,31
NISSAN QASHQAI II phase 2,20520,2020,130390,Automatique,Diesel,Non requis,Non,5,5,6
PEUGEOT E-208 II,28650,2023,24398,Automatique,Électrique,Non requis,Oui,5,5,4
OPEL ASTRA V SPORTS TOURER,20210,2020,121732,Automatique,Essence,Non requis,Non,5,5,8
,20210,2020,121732,Automatique,Essence,Non requis,Non,5,5,8
PEUGEOT 308 III,38590,2023,12,Automatique,Diesel,Non requis,Non,5,5,7
MERCEDES GLA,26760,2020,55712,Automatique,Essence,Non requis,Non,5,5,7
AUDI E-TRON,69850,2022,9279,Automatique,Électrique,Non requis,Oui,5,5,12
SEAT ARONA,27650,2023,5218,Automatique,Essence,Non requis,Non,5,5,6
PEUGEOT 3008 II phase 2,27140,2022,69760,Automatique,Essence,Non requis,Oui,5,5,7
PEUGEOT E-2008 II,34750,2022,16605,Automatique,Électrique,Non requis,Oui,5,5,4
AUDI A3 III SPORTBACK phase 2,36150,2020,58266,Automatique,Essence,Non requis,Oui,5,5,11
CITROEN C3 III phase 2,19020,2022,21374,Manuelle,Essence,Non requis,Non,5,5,4
PORSCHE 911 TYPE 992 TURBO,313630,2022,4879,Automatique,Essence,Non requis,Non,2,4,51
PEUGEOT 2008 II,29650,2023,51914,Automatique,Diesel,Non requis,Non,5,5,7
VOLKSWAGEN PASSAT 8 SW,22350,2020,91222,Automatique,Diesel,Non requis,Oui,5,5,6
,22350,2020,91222,Automatique,Diesel,Non requis,Oui,5,5,6
AUDI RS6 IV AVANT,131140,2020,44835,Automatique,Essence,Non requis,Non,5,5,52
VOLKSWAGEN GOLF 8,30440,2022,34184,Automatique,Hybrides,Non requis,Non,5,5,8
PEUGEOT 208 II,18430,2021,21935,Manuelle,Essence,Non requis,Oui,5,5,4
FIAT 500 C II phase 2,14710,2019,89971,Manuelle,Essence,Non requis,Non,3,4,4
PEUGEOT 208 (2E GENERATION),19590,2023,14416,Manuelle,Essence,Non requis,Non,5,4,4
,19590,2023,14416,Manuelle,Essence,Non requis,Non,5,4,4
PEUGEOT 2008 II,30400,2022,27569,Manuelle,Essence,Non requis,Non,5,5,5
RENAULT KANGOO II EXPRESS phase 2,17370,2020,63706,Automatique,Électrique,Non requis,Oui,4,2,7
BMW SERIE 2,34780,2022,25360,Automatique,Diesel,Non requis,Oui,5,5,6
MERCEDES-AMG GT,148360,2020,25404,Automatique,Essence,Non requis,Non,2,2,38
CITROEN GRAND C4 SPACETOURER,29380,2023,19625,Automatique,Diesel,Non requis,Non,5,7,7
PEUGEOT 208 II,21370,2022,23874,Manuelle,Essence,Non requis,Oui,5,5,5
PEUGEOT 508 II SW,27700,2020,73084,Automatique,Diesel,Non requis,Oui,5,5,6
FORD RANGER III phase 2,33330,2020,72526,Manuelle,Diesel,Non requis,Non,2,4,7
BMW SERIE 2 F45 ACTIVE TOURER phase 2,30230,2021,39410,Automatique,Hybrides,Non requis,Oui,5,5,6
PEUGEOT 308 II SW phase 2,13540,2019,123978,Manuelle,Diesel,Requis,Non,5,5,5
VOLVO S90 II,56560,2020,17743,Automatique,Hybrides,Non requis,Non,4,5,17
,56560,2020,17743,Automatique,Hybrides,Non requis,Non,4,5,17
AUDI Q3 II SPORTBACK,78630,2023,121,Automatique,Diesel,Non requis,Oui,5,5,11
MINI MINI III 5P,21450,2020,57458,Manuelle,Essence,Non requis,Oui,5,5,5
SMART FORTWO III,19190,2019,26162,Automatique,Essence,Requis,Non,3,2,4
RENAULT MEGANE IV ESTATE,15220,2019,99799,Manuelle,Diesel,Non requis,Oui,5,5,5
VOLKSWAGEN TOURAN III,28510,2019,97464,Automatique,Essence,Requis,Oui,5,5,8
,28510,2019,97464,Automatique,Essence,Requis,Oui,5,5,8
PORSCHE MACAN phase 2,66050,2020,82364,Automatique,Essence,Non requis,Non,5,5,15
PEUGEOT 208 phase 2,21260,2020,39717,Automatique,Essence,Non requis,Oui,5,5,6
RENAULT KANGOO II EXPRESS phase 2,16510,2020,109069,Manuelle,Diesel,Non requis,Non,4,2,5
FORD TRANSIT CUSTOM II phase 2,57240,2024,1,Automatique,Diesel,Non requis,Oui,4,4,7
VOLKSWAGEN T-ROC phase 2,35390,2023,21756,Automatique,Essence,Non requis,Oui,5,5,8
PEUGEOT 208,14650,2020,123786,Automatique,Essence,Non requis,Non,5,5,6
PORSCHE 911 TYPE 992 CABRIOLET,221980,2021,23160,Automatique,Essence,Non requis,Oui,2,4,34
MINI III 3P,26430,2019,33350,Automatique,Essence,Requis,Non,3,4,7
AUDI A4 V AVANT,31030,2019,64285,Automatique,Diesel,Requis,Non,5,5,8
PEUGEOT 3008 II phase 2,42100,2023,12,Automatique,Diesel,Non requis,Non,5,5,7
CITROEN JUMPY III FOURGON,35720,2020,72792,Manuelle,Diesel,Non requis,Oui,4,6,7
,35720,2020,72792,Manuelle,Diesel,Non requis,Oui,4,6,7
DACIA SANDERO II STEPWAY phase 2,14750,2019,40486,Manuelle,Diesel,Non requis,Oui,5,5,4
